,depths,Eu_480.0,Ed_480.0,Eo_480.0,Eod_480.0,Eou_480.0,a_480.0,b_480.0,bb_480.0,Kd_480.0,Eu_540.0,Ed_540.0,Eo_540.0,Eod_540.0,Eou_540.0,a_540.0,b_540.0,bb_540.0,Kd_540.0,Eu_600.0,Ed_600.0,Eo_600.0,Eod_600.0,Eou_600.0,a_600.0,b_600.0,bb_600.0,Kd_600.0,g
0,0.0,0.098736,0.11663,0.40909,0.21102,0.19806,480.0,480.0,480.0,480.0,0.090011,0.10758,0.3755,0.19464,0.18086,540.0,540.0,540.0,540.0,0.079535,0.098604,0.33903,0.17841,0.16063,600.0,600.0,600.0,600.0,0.0
1,0.0,0.098736,0.11663,0.40909,0.21102,0.19806,0.06,170.0,6.1591,-0.96906,0.090011,0.10758,0.3755,0.19464,0.18086,0.0775,170.0,6.1591,-0.67057,0.079535,0.098604,0.33903,0.17841,0.16063,0.145,170.0,6.1591,0.27267,0.85
2,0.01,0.097232,0.11487,0.42079,0.2227,0.19809,0.06,170.0,6.1591,2.5923,0.08842,0.10569,0.38505,0.20464,0.18041,0.0775,170.0,6.1591,2.8285,0.077525,0.096092,0.34428,0.18537,0.15891,0.145,170.0,6.1591,3.5759,0.85
3,0.02,0.094288,0.11168,0.41065,0.21812,0.19253,0.06,170.0,6.1591,3.0091,0.085537,0.10251,0.37487,0.19994,0.17493,0.0775,170.0,6.1591,3.2391,0.074444,0.09252,0.33265,0.17971,0.15294,0.145,170.0,6.1591,3.9654,0.85
4,0.03,0.091131,0.10828,0.39819,0.21191,0.18628,0.06,170.0,6.1591,3.1721,0.082475,0.09916,0.36264,0.1938,0.16884,0.0775,170.0,6.1591,3.4019,0.07125,0.088853,0.31944,0.17291,0.14654,0.145,170.0,6.1591,4.1228,0.85
5,0.04,0.087936,0.10485,0.38518,0.2053,0.17988,0.06,170.0,6.1591,3.271,0.079389,0.095798,0.34996,0.18732,0.16265,0.0775,170.0,6.1591,3.5009,0.068075,0.085225,0.30604,0.16592,0.14012,0.145,170.0,6.1591,4.2216,0.85
6,0.05,0.084752,0.10144,0.37209,0.19862,0.17348,0.06,170.0,6.1591,3.3491,0.076325,0.092468,0.33726,0.18079,0.15647,0.0775,170.0,6.1591,3.5819,0.064955,0.081671,0.29278,0.15898,0.13379,0.145,170.0,6.1591,4.3044,0.85
7,0.06,0.081597,0.098065,0.35908,0.19196,0.16712,0.06,170.0,6.1591,3.424,0.073297,0.089183,0.32468,0.17432,0.15036,0.0775,170.0,6.1591,3.6582,0.061901,0.078202,0.27978,0.15218,0.1276,0.145,170.0,6.1591,4.3852,0.85
8,0.07,0.078476,0.094732,0.3462,0.18536,0.16084,0.06,170.0,6.1591,3.4991,0.070309,0.085949,0.31226,0.16793,0.14434,0.0775,170.0,6.1591,3.7373,0.058914,0.074818,0.26707,0.14553,0.12154,0.145,170.0,6.1591,4.4696,0.85
9,0.08,0.07539,0.091442,0.33346,0.17884,0.15462,0.06,170.0,6.1591,3.5783,0.067363,0.082766,0.30002,0.16163,0.13839,0.0775,170.0,6.1591,3.82,0.055993,0.071519,0.25465,0.13904,0.11562,0.145,170.0,6.1591,4.5602,0.85
10,0.09,0.072339,0.088195,0.32087,0.1724,0.14847,0.06,170.0,6.1591,3.6627,0.064458,0.079632,0.28795,0.15542,0.13253,0.0775,170.0,6.1591,3.909,0.053136,0.068302,0.24252,0.1327,0.10982,0.145,170.0,6.1591,4.6574,0.85
11,0.1,0.069322,0.084989,0.30843,0.16604,0.1424,0.06,170.0,6.1591,3.7527,0.061591,0.076547,0.27606,0.14931,0.12675,0.0775,170.0,6.1591,4.0048,0.05034,0.065162,0.23067,0.12651,0.10415,0.145,170.0,6.1591,4.7654,0.85
12,0.11,0.066337,0.081823,0.29614,0.15975,0.13639,0.06,170.0,6.1591,3.8505,0.058763,0.073509,0.26434,0.14329,0.12104,0.0775,170.0,6.1591,4.1077,0.047601,0.062098,0.21908,0.12047,0.098604,0.145,170.0,6.1591,4.8831,0.85
13,0.12,0.063384,0.078696,0.28399,0.15355,0.13044,0.06,170.0,6.1591,3.9552,0.05597,0.070516,0.25277,0.13736,0.11541,0.0775,170.0,6.1591,4.22,0.044917,0.059104,0.20774,0.11457,0.093168,0.145,170.0,6.1591,5.0137,0.85
14,0.13,0.060461,0.075606,0.27197,0.14741,0.12456,0.06,170.0,6.1591,4.0688,0.053211,0.067566,0.24136,0.13151,0.10985,0.0775,170.0,6.1591,4.3416,0.042284,0.056178,0.19664,0.1088,0.087838,0.145,170.0,6.1591,5.1576,0.85
15,0.14,0.057566,0.072552,0.26008,0.14135,0.11873,0.06,170.0,6.1591,4.1923,0.050485,0.064657,0.2301,0.12574,0.10436,0.0775,170.0,6.1591,4.4747,0.0397,0.053316,0.18576,0.10315,0.082609,0.145,170.0,6.1591,5.3172,0.85
16,0.15,0.054699,0.069532,0.24831,0.13535,0.11296,0.06,170.0,6.1591,4.326,0.047789,0.061787,0.21898,0.12005,0.098929,0.0775,170.0,6.1591,4.621,0.037161,0.050516,0.1751,0.097622,0.077474,0.145,170.0,6.1591,5.4951,0.85
17,0.16,0.051857,0.066545,0.23666,0.12941,0.10725,0.06,170.0,6.1591,4.4738,0.045123,0.058955,0.20799,0.11443,0.093559,0.0775,170.0,6.1591,4.7813,0.034664,0.047773,0.16463,0.092204,0.072426,0.145,170.0,6.1591,5.6942,0.85
18,0.17,0.04904,0.063589,0.22511,0.12354,0.10158,0.06,170.0,6.1591,4.6333,0.042483,0.056159,0.19712,0.10888,0.088243,0.0775,170.0,6.1591,4.9575,0.032207,0.045084,0.15435,0.08689,0.067458,0.145,170.0,6.1591,5.919,0.85
19,0.18,0.046244,0.060661,0.21366,0.11771,0.095949,0.06,170.0,6.1591,4.8147,0.039869,0.053396,0.18637,0.10339,0.082972,0.0775,170.0,6.1591,5.1582,0.029785,0.042446,0.14423,0.081671,0.062557,0.145,170.0,6.1591,6.1762,0.85
20,0.19,0.043466,0.057759,0.20228,0.11194,0.09034,0.06,170.0,6.1591,5.0213,0.037274,0.050661,0.17568,0.097957,0.077726,0.0775,170.0,6.1591,5.3876,0.027391,0.039851,0.13423,0.076531,0.057697,0.145,170.0,6.1591,6.4823,0.85
21,0.2,0.040432,0.054602,0.18962,0.10561,0.084011,0.06,480.0,17.39,1.294,0.034443,0.047692,0.16381,0.092013,0.071799,0.0775,480.0,17.39,1.4095,0.024784,0.037048,0.12312,0.070937,0.052186,0.145,480.0,17.39,1.8653,0.9
22,0.21,0.03987,0.053927,0.18721,0.10434,0.082874,0.06,480.0,0.3072,1.2422,0.033925,0.047048,0.16154,0.090792,0.070745,0.0775,480.0,0.3072,1.3579,0.024324,0.036412,0.12093,0.069711,0.051223,0.145,480.0,0.3072,1.7203,0.9
23,0.22,0.039314,0.053259,0.18477,0.10304,0.081737,0.06,480.0,0.3072,1.2497,0.033414,0.046413,0.15925,0.089552,0.069695,0.0775,480.0,0.3072,1.365,0.023876,0.03579,0.11879,0.068501,0.050289,0.145,480.0,0.3072,1.7221,0.9
24,0.23,0.038761,0.052596,0.18235,0.10174,0.080609,0.06,480.0,0.3072,1.2556,0.032907,0.045783,0.15698,0.088322,0.068655,0.0775,480.0,0.3072,1.3659,0.023435,0.035179,0.11668,0.067313,0.049369,0.145,480.0,0.3072,1.7243,0.9
25,0.24,0.038213,0.051939,0.17994,0.10045,0.079488,0.06,480.0,0.3072,1.2605,0.032405,0.045161,0.15473,0.087105,0.067625,0.0775,480.0,0.3072,1.3718,0.023001,0.034577,0.11461,0.066146,0.048465,0.145,480.0,0.3072,1.7287,0.9
26,0.25,0.037669,0.051288,0.17755,0.099174,0.078377,0.06,480.0,0.3072,1.2651,0.031908,0.044544,0.15251,0.085901,0.066605,0.0775,480.0,0.3072,1.3783,0.022573,0.033985,0.11257,0.065,0.047574,0.145,480.0,0.3072,1.7315,0.9
27,0.26,0.037128,0.050642,0.17518,0.097908,0.077274,0.06,480.0,0.3072,1.2702,0.031415,0.043934,0.1503,0.084709,0.065593,0.0775,480.0,0.3072,1.3821,0.022152,0.033401,0.11057,0.063872,0.046696,0.145,480.0,0.3072,1.733,0.9
28,0.27,0.036592,0.050001,0.17283,0.096653,0.076178,0.06,480.0,0.3072,1.2771,0.030927,0.04333,0.14812,0.08353,0.064592,0.0775,480.0,0.3072,1.3874,0.021736,0.032827,0.10859,0.062762,0.045831,0.145,480.0,0.3072,1.7376,0.9
29,0.28,0.03606,0.049366,0.1705,0.095408,0.075092,0.06,480.0,0.3072,1.2817,0.030442,0.042732,0.14596,0.082362,0.063599,0.0775,480.0,0.3072,1.3953,0.021326,0.032261,0.10665,0.06167,0.044979,0.145,480.0,0.3072,1.7435,0.9
30,0.29,0.035531,0.048735,0.16819,0.094173,0.074012,0.06,480.0,0.3072,1.2873,0.029962,0.042139,0.14382,0.081206,0.062615,0.0775,480.0,0.3072,1.4005,0.020921,0.031703,0.10473,0.060594,0.044138,0.145,480.0,0.3072,1.7459,0.9
31,0.3,0.035006,0.04811,0.16589,0.092949,0.072942,0.06,480.0,0.3072,1.2938,0.029486,0.041553,0.1417,0.080061,0.061639,0.0775,480.0,0.3072,1.4037,0.020522,0.031154,0.10284,0.059534,0.043309,0.145,480.0,0.3072,1.7515,0.9
32,0.31,0.034485,0.047491,0.16361,0.091735,0.071878,0.06,480.0,0.3072,1.3007,0.029015,0.040972,0.1396,0.078927,0.060673,0.0775,480.0,0.3072,1.411,0.020129,0.030612,0.10098,0.05849,0.042491,0.145,480.0,0.3072,1.7561,0.9
33,0.32,0.033968,0.046875,0.16135,0.09053,0.070822,0.06,480.0,0.3072,1.3056,0.028547,0.040397,0.13752,0.077804,0.059714,0.0775,480.0,0.3072,1.4186,0.01974,0.030079,0.099144,0.057461,0.041684,0.145,480.0,0.3072,1.759,0.9
34,0.33,0.033454,0.046266,0.15911,0.089335,0.069774,0.06,480.0,0.3072,1.3128,0.028083,0.039827,0.13546,0.076692,0.058763,0.0775,480.0,0.3072,1.4243,0.019357,0.029553,0.097335,0.056447,0.040888,0.145,480.0,0.3072,1.7644,0.9
35,0.34,0.032943,0.04566,0.15688,0.088149,0.068733,0.06,480.0,0.3072,1.3189,0.027622,0.039262,0.13341,0.075591,0.057821,0.0775,480.0,0.3072,1.4298,0.018979,0.029035,0.09555,0.055448,0.040102,0.145,480.0,0.3072,1.7716,0.9
36,0.35,0.032436,0.04506,0.15467,0.086972,0.067699,0.06,480.0,0.3072,1.3283,0.027166,0.038703,0.13139,0.074499,0.056886,0.0775,480.0,0.3072,1.4378,0.018605,0.028524,0.09379,0.054463,0.039327,0.145,480.0,0.3072,1.779,0.9
37,0.36,0.031933,0.044464,0.15248,0.085805,0.066673,0.06,480.0,0.3072,1.3362,0.026713,0.038149,0.12938,0.073418,0.05596,0.0775,480.0,0.3072,1.444,0.018236,0.028021,0.092054,0.053492,0.038562,0.145,480.0,0.3072,1.7842,0.9
38,0.37,0.031433,0.043873,0.1503,0.084646,0.065653,0.06,480.0,0.3072,1.3402,0.026264,0.037601,0.12739,0.072347,0.05504,0.0775,480.0,0.3072,1.4524,0.017872,0.027524,0.090341,0.052535,0.037806,0.145,480.0,0.3072,1.788,0.9
39,0.38,0.030936,0.043287,0.14814,0.083497,0.06464,0.06,480.0,0.3072,1.3486,0.025818,0.037057,0.12541,0.071285,0.054129,0.0775,480.0,0.3072,1.4588,0.017513,0.027035,0.088652,0.051591,0.037061,0.145,480.0,0.3072,1.7988,0.9
40,0.39,0.030442,0.042705,0.14599,0.082356,0.063634,0.06,480.0,0.3072,1.3565,0.025376,0.036519,0.12346,0.070234,0.053224,0.0775,480.0,0.3072,1.469,0.017158,0.026553,0.086986,0.050661,0.036325,0.145,480.0,0.3072,1.8068,0.9
41,0.4,0.029952,0.042127,0.14386,0.081224,0.062635,0.06,480.0,0.3072,1.3652,0.024938,0.035985,0.12152,0.069191,0.052327,0.0775,480.0,0.3072,1.4791,0.016807,0.026077,0.085342,0.049743,0.035598,0.145,480.0,0.3072,1.8114,0.0
42,0.41,0.029464,0.041554,0.14174,0.0801,0.061642,0.06,480.0,0.3072,1.374,0.024502,0.035456,0.1196,0.068159,0.051437,0.0775,480.0,0.3072,1.4857,0.016461,0.025608,0.083719,0.048839,0.03488,0.145,480.0,0.3072,1.819,0.0
43,0.42,0.02898,0.040986,0.13964,0.078985,0.060656,0.06,480.0,0.3072,1.3829,0.02407,0.034932,0.11769,0.067135,0.050554,0.0775,480.0,0.3072,1.4927,0.016119,0.025146,0.082118,0.047947,0.034172,0.145,480.0,0.3072,1.8262,0.0
44,0.43,0.028499,0.040421,0.13755,0.077879,0.059676,0.06,480.0,0.3072,1.3939,0.023642,0.034413,0.1158,0.066121,0.049678,0.0775,480.0,0.3072,1.5027,0.015781,0.02469,0.080538,0.047067,0.033472,0.145,480.0,0.3072,1.8345,0.0
45,0.44,0.02802,0.039861,0.13548,0.07678,0.058702,0.06,480.0,0.3072,1.4006,0.023216,0.033899,0.11392,0.065116,0.048808,0.0775,480.0,0.3072,1.5106,0.015447,0.02424,0.078979,0.046199,0.03278,0.145,480.0,0.3072,1.8408,0.0
46,0.45,0.027545,0.039305,0.13342,0.075689,0.057734,0.06,480.0,0.3072,1.4105,0.022794,0.033389,0.11206,0.064119,0.047945,0.0775,480.0,0.3072,1.5215,0.015117,0.023797,0.07744,0.045343,0.032097,0.145,480.0,0.3072,1.8502,0.0
47,0.46,0.027073,0.038753,0.13138,0.074606,0.056773,0.06,480.0,0.3072,1.4195,0.022375,0.032883,0.11022,0.063131,0.047089,0.0775,480.0,0.3072,1.5293,0.01479,0.02336,0.07592,0.044498,0.031422,0.145,480.0,0.3072,1.8592,0.0
48,0.47,0.026603,0.038206,0.12935,0.073531,0.055817,0.06,480.0,0.3072,1.4267,0.021958,0.032382,0.10839,0.062152,0.046239,0.0775,480.0,0.3072,1.5404,0.014468,0.022928,0.07442,0.043665,0.030755,0.145,480.0,0.3072,1.8687,0.0
49,0.48,0.026136,0.037662,0.12733,0.072464,0.054867,0.06,480.0,0.3072,1.4381,0.021545,0.031886,0.10658,0.061181,0.045395,0.0775,480.0,0.3072,1.5525,0.014149,0.022503,0.072939,0.042843,0.030096,0.145,480.0,0.3072,1.8776,0.0
50,0.49,0.025672,0.037122,0.12533,0.071404,0.053923,0.06,480.0,0.3072,1.449,0.021135,0.031394,0.10478,0.060218,0.044557,0.0775,480.0,0.3072,1.5614,0.013834,0.022083,0.071477,0.042032,0.029445,0.145,480.0,0.3072,1.8883,0.0
51,0.5,0.025211,0.036586,0.12334,0.070352,0.052985,0.06,480.0,0.3072,1.4595,0.020727,0.030906,0.10299,0.059264,0.043726,0.0775,480.0,0.3072,1.5715,0.013523,0.021669,0.070033,0.041232,0.028801,0.145,480.0,0.3072,1.8959,0.0
52,0.51,0.024752,0.036054,0.12136,0.069307,0.052052,0.06,480.0,0.3072,1.4699,0.020323,0.030422,0.10122,0.058317,0.0429,0.0775,480.0,0.3072,1.5814,0.013215,0.02126,0.068607,0.040442,0.028165,0.145,480.0,0.3072,1.9099,0.0
53,0.52,0.024296,0.035525,0.11939,0.068269,0.051125,0.06,480.0,0.3072,1.4835,0.019921,0.029942,0.099459,0.057379,0.04208,0.0775,480.0,0.3072,1.5957,0.01291,0.020857,0.067198,0.039662,0.027536,0.145,480.0,0.3072,1.921,0.0
54,0.53,0.023842,0.035001,0.11744,0.067239,0.050202,0.06,480.0,0.3072,1.492,0.019521,0.029467,0.097714,0.056448,0.041266,0.0775,480.0,0.3072,1.6082,0.012609,0.020459,0.065806,0.038893,0.026913,0.145,480.0,0.3072,1.9328,0.0
55,0.54,0.023391,0.03448,0.1155,0.066215,0.049286,0.06,480.0,0.3072,1.5073,0.019125,0.028995,0.095982,0.055525,0.040457,0.0775,480.0,0.3072,1.6228,0.01231,0.020067,0.064432,0.038134,0.026298,0.145,480.0,0.3072,1.9438,0.0
56,0.55,0.022942,0.033962,0.11357,0.065199,0.048374,0.06,480.0,0.3072,1.5186,0.018731,0.028527,0.094263,0.054609,0.039654,0.0775,480.0,0.3072,1.633,0.012015,0.019679,0.063074,0.037384,0.025689,0.145,480.0,0.3072,1.9576,0.0
57,0.56,0.022496,0.033449,0.11166,0.064189,0.047467,0.06,480.0,0.3072,1.533,0.01834,0.028063,0.092557,0.053701,0.038857,0.0775,480.0,0.3072,1.6475,0.011723,0.019297,0.061731,0.036644,0.025087,0.145,480.0,0.3072,1.9713,0.0
58,0.57,0.022052,0.032938,0.10975,0.063186,0.046566,0.06,480.0,0.3072,1.5449,0.017951,0.027603,0.090864,0.0528,0.038064,0.0775,480.0,0.3072,1.6615,0.011434,0.018919,0.060405,0.035913,0.024492,0.145,480.0,0.3072,1.9822,0.0
59,0.58,0.02161,0.032431,0.10786,0.06219,0.045669,0.06,480.0,0.3072,1.5578,0.017564,0.027147,0.089183,0.051906,0.037277,0.0775,480.0,0.3072,1.6746,0.011148,0.018547,0.059094,0.035192,0.023902,0.145,480.0,0.3072,1.997,0.0
60,0.59,0.021171,0.031928,0.10598,0.0612,0.044777,0.06,480.0,0.3072,1.5743,0.01718,0.026695,0.087514,0.051019,0.036495,0.0775,480.0,0.3072,1.691,0.010865,0.018179,0.057798,0.034479,0.023319,0.145,480.0,0.3072,2.012,0.0
61,0.6,0.020734,0.031427,0.10411,0.060216,0.04389,0.06,480.0,0.3072,1.5842,0.016798,0.026246,0.085857,0.050139,0.035717,0.0775,480.0,0.3072,1.7069,0.010585,0.017815,0.056517,0.033775,0.022741,0.145,480.0,0.3072,2.0274,0.0
62,0.61,0.020299,0.030931,0.10225,0.059239,0.043007,0.06,480.0,0.3072,1.6028,0.016419,0.0258,0.084211,0.049266,0.034945,0.0775,480.0,0.3072,1.7209,0.010307,0.017457,0.05525,0.03308,0.02217,0.145,480.0,0.3072,2.0449,0.0
63,0.62,0.019866,0.030437,0.1004,0.058268,0.042129,0.06,480.0,0.3072,1.6183,0.016041,0.025358,0.082577,0.0484,0.034177,0.0775,480.0,0.3072,1.7383,0.010032,0.017102,0.053997,0.032393,0.021604,0.145,480.0,0.3072,2.0593,0.0
64,0.63,0.019435,0.029947,0.098558,0.057303,0.041255,0.06,480.0,0.3072,1.6334,0.015666,0.02492,0.080954,0.04754,0.033414,0.0775,480.0,0.3072,1.7535,0.0097591,0.016752,0.052758,0.031715,0.021044,0.145,480.0,0.3072,2.0779,0.0
