,depths,Eu_480.0,Ed_480.0,Eo_480.0,Eod_480.0,Eou_480.0,a_480.0,b_480.0,bb_480.0,Kd_480.0,Eu_540.0,Ed_540.0,Eo_540.0,Eod_540.0,Eou_540.0,a_540.0,b_540.0,bb_540.0,Kd_540.0,Eu_600.0,Ed_600.0,Eo_600.0,Eod_600.0,Eou_600.0,a_600.0,b_600.0,bb_600.0,Kd_600.0,g
0,0.0,0.098748,0.11663,0.40911,0.21102,0.19809,480.0,480.0,480.0,480.0,0.090022,0.10758,0.37552,0.19464,0.18088,540.0,540.0,540.0,540.0,0.079542,0.098604,0.33905,0.17841,0.16064,600.0,600.0,600.0,600.0,0.0
1,0.0,0.098748,0.11663,0.40911,0.21102,0.19809,0.06,170.0,6.1591,-0.97144,0.090022,0.10758,0.37552,0.19464,0.18088,0.0775,170.0,6.1591,-0.67331,0.079542,0.098604,0.33905,0.17841,0.16064,0.145,170.0,6.1591,0.2704,0.85
2,0.01,0.097246,0.11488,0.42082,0.2227,0.19811,0.06,170.0,6.1591,2.59,0.088433,0.10569,0.38508,0.20465,0.18043,0.0775,170.0,6.1591,2.8269,0.077535,0.096094,0.34431,0.18538,0.15893,0.145,170.0,6.1591,3.5752,0.85
3,0.02,0.094305,0.11169,0.4107,0.21813,0.19257,0.06,170.0,6.1591,3.0062,0.085553,0.10251,0.37491,0.19995,0.17495,0.0775,170.0,6.1591,3.237,0.074456,0.092524,0.33268,0.17972,0.15296,0.145,170.0,6.1591,3.9634,0.85
4,0.03,0.091151,0.10829,0.39825,0.21193,0.18632,0.06,170.0,6.1591,3.17,0.082492,0.099167,0.36269,0.19381,0.16887,0.0775,170.0,6.1591,3.3992,0.071263,0.088858,0.31948,0.17292,0.14656,0.145,170.0,6.1591,4.1205,0.85
5,0.04,0.087958,0.10486,0.38525,0.20533,0.17992,0.06,170.0,6.1591,3.2685,0.079409,0.095807,0.35002,0.18734,0.16268,0.0775,170.0,6.1591,3.4986,0.068089,0.085231,0.30608,0.16593,0.14015,0.145,170.0,6.1591,4.2197,0.85
6,0.05,0.084777,0.10145,0.37217,0.19864,0.17352,0.06,170.0,6.1591,3.3467,0.076347,0.092479,0.33733,0.18082,0.15651,0.0775,170.0,6.1591,3.5789,0.064971,0.081679,0.29282,0.159,0.13382,0.145,170.0,6.1591,4.302,0.85
7,0.06,0.081624,0.098079,0.35916,0.19199,0.16718,0.06,170.0,6.1591,3.421,0.073321,0.089196,0.32476,0.17435,0.15041,0.0775,170.0,6.1591,3.6557,0.061919,0.078211,0.27983,0.1522,0.12763,0.145,170.0,6.1591,4.3823,0.85
8,0.07,0.078505,0.094749,0.34629,0.1854,0.16089,0.06,170.0,6.1591,3.4961,0.070336,0.085964,0.31235,0.16796,0.14439,0.0775,170.0,6.1591,3.7343,0.058933,0.074829,0.26713,0.14555,0.12158,0.145,170.0,6.1591,4.4665,0.85
9,0.08,0.075422,0.091462,0.33356,0.17888,0.15468,0.06,170.0,6.1591,3.5745,0.067392,0.082783,0.30011,0.16167,0.13845,0.0775,170.0,6.1591,3.8168,0.056014,0.071532,0.25472,0.13906,0.11565,0.145,170.0,6.1591,4.5572,0.85
10,0.09,0.072373,0.088217,0.32098,0.17244,0.14854,0.06,170.0,6.1591,3.6589,0.064489,0.079652,0.28805,0.15547,0.13259,0.0775,170.0,6.1591,3.9046,0.053159,0.068316,0.24259,0.13273,0.10986,0.145,170.0,6.1591,4.6542,0.85
11,0.1,0.069359,0.085013,0.30856,0.16609,0.14247,0.06,170.0,6.1591,3.7487,0.061624,0.076569,0.27617,0.14936,0.12681,0.0775,170.0,6.1591,4.0001,0.050364,0.065178,0.23075,0.12655,0.1042,0.145,170.0,6.1591,4.7616,0.85
12,0.11,0.066377,0.08185,0.29627,0.15981,0.13646,0.06,170.0,6.1591,3.846,0.058798,0.073533,0.26445,0.14334,0.12111,0.0775,170.0,6.1591,4.1035,0.047627,0.062115,0.21916,0.12051,0.098654,0.145,170.0,6.1591,4.8793,0.85
13,0.12,0.063426,0.078725,0.28413,0.15361,0.13052,0.06,170.0,6.1591,3.9504,0.056007,0.070542,0.2529,0.13742,0.11548,0.0775,170.0,6.1591,4.2149,0.044945,0.059123,0.20783,0.11461,0.093221,0.145,170.0,6.1591,5.0091,0.85
14,0.13,0.060505,0.075638,0.27212,0.14748,0.12464,0.06,170.0,6.1591,4.0634,0.053251,0.067594,0.2415,0.13157,0.10993,0.0775,170.0,6.1591,4.3363,0.042314,0.056199,0.19674,0.10884,0.087896,0.145,170.0,6.1591,5.1527,0.85
15,0.14,0.057614,0.072586,0.26024,0.14142,0.11882,0.06,170.0,6.1591,4.1873,0.050527,0.064687,0.23025,0.12581,0.10444,0.0775,170.0,6.1591,4.4691,0.039731,0.053339,0.18587,0.1032,0.08267,0.145,170.0,6.1591,5.3122,0.85
16,0.15,0.054749,0.069569,0.24848,0.13542,0.11306,0.06,170.0,6.1591,4.3205,0.047834,0.06182,0.21913,0.12012,0.099015,0.0775,170.0,6.1591,4.615,0.037194,0.05054,0.17521,0.097673,0.077538,0.145,170.0,6.1591,5.4895,0.85
17,0.16,0.05191,0.066584,0.23684,0.12949,0.10735,0.06,170.0,6.1591,4.4665,0.04517,0.05899,0.20815,0.1145,0.09365,0.0775,170.0,6.1591,4.7753,0.0347,0.047799,0.16475,0.092258,0.072494,0.145,170.0,6.1591,5.6874,0.85
18,0.17,0.049095,0.063631,0.22531,0.12362,0.10168,0.06,170.0,6.1591,4.6277,0.042533,0.056196,0.1973,0.10896,0.088338,0.0775,170.0,6.1591,4.9505,0.032244,0.045112,0.15448,0.086948,0.067529,0.145,170.0,6.1591,5.9107,0.85
19,0.18,0.046302,0.060706,0.21387,0.11781,0.09606,0.06,170.0,6.1591,4.8049,0.03992,0.053435,0.18655,0.10348,0.083072,0.0775,170.0,6.1591,5.1474,0.029823,0.042475,0.14436,0.081732,0.062631,0.145,170.0,6.1591,6.1678,0.85
20,0.19,0.043526,0.057805,0.20249,0.11203,0.090455,0.06,170.0,6.1591,5.0113,0.037328,0.050703,0.17587,0.098042,0.077829,0.0775,170.0,6.1591,5.3805,0.027432,0.039881,0.13437,0.076594,0.057772,0.145,170.0,6.1591,6.476,0.85
21,0.2,0.040495,0.054651,0.18986,0.10572,0.084146,0.06,480.0,17.39,1.3046,0.034499,0.047736,0.16402,0.092106,0.071917,0.0775,480.0,17.39,1.4246,0.024826,0.03708,0.12327,0.071002,0.052266,0.145,480.0,17.39,1.8522,0.99
22,0.21,0.03993,0.053973,0.18741,0.10441,0.082995,0.06,480.0,1.008,1.2482,0.033978,0.047089,0.1617,0.090854,0.070849,0.0775,480.0,1.008,1.3618,0.024363,0.036441,0.12104,0.069748,0.051295,0.145,480.0,1.008,1.7276,0.99
23,0.22,0.039372,0.053303,0.18495,0.1031,0.081853,0.06,480.0,1.008,1.254,0.033465,0.046451,0.1594,0.089604,0.069795,0.0775,480.0,1.008,1.3646,0.023914,0.035817,0.11888,0.068526,0.050354,0.145,480.0,1.008,1.7242,0.99
24,0.23,0.038817,0.052639,0.18251,0.10179,0.080721,0.06,480.0,1.008,1.2576,0.032957,0.04582,0.15712,0.088367,0.06875,0.0775,480.0,1.008,1.3693,0.023471,0.035204,0.11676,0.067331,0.049431,0.145,480.0,1.008,1.7281,0.99
25,0.24,0.038268,0.05198,0.1801,0.1005,0.079597,0.06,480.0,1.008,1.262,0.032453,0.045196,0.15486,0.087145,0.067717,0.0775,480.0,1.008,1.3738,0.023036,0.034601,0.11468,0.066159,0.048522,0.145,480.0,1.008,1.7288,0.99
26,0.25,0.037722,0.051327,0.1777,0.099221,0.078482,0.06,480.0,1.008,1.2665,0.031955,0.044578,0.15263,0.085937,0.066693,0.0775,480.0,1.008,1.3787,0.022607,0.034007,0.11264,0.065009,0.047629,0.145,480.0,1.008,1.7318,0.99
27,0.26,0.037181,0.05068,0.17533,0.097952,0.077376,0.06,480.0,1.008,1.2744,0.031461,0.043967,0.15042,0.084742,0.06568,0.0775,480.0,1.008,1.3825,0.022184,0.033423,0.11063,0.063878,0.046749,0.145,480.0,1.008,1.7336,0.99
28,0.27,0.036643,0.050038,0.17297,0.096694,0.076279,0.06,480.0,1.008,1.2767,0.030971,0.043361,0.14824,0.08356,0.064676,0.0775,480.0,1.008,1.3869,0.021767,0.032847,0.10865,0.062765,0.045881,0.145,480.0,1.008,1.7381,0.99
29,0.28,0.03611,0.049402,0.17064,0.095447,0.075189,0.06,480.0,1.008,1.2823,0.030486,0.042762,0.14607,0.08239,0.063681,0.0775,480.0,1.008,1.3959,0.021356,0.03228,0.1067,0.06167,0.045027,0.145,480.0,1.008,1.7435,0.99
30,0.29,0.03558,0.04877,0.16832,0.09421,0.074108,0.06,480.0,1.008,1.2887,0.030005,0.042169,0.14393,0.081232,0.062695,0.0775,480.0,1.008,1.402,0.020951,0.031722,0.10478,0.060593,0.044184,0.145,480.0,1.008,1.7482,0.99
31,0.3,0.035054,0.048144,0.16602,0.092984,0.073035,0.06,480.0,1.008,1.296,0.029528,0.041581,0.1418,0.080085,0.061718,0.0775,480.0,1.008,1.4033,0.020551,0.031171,0.10288,0.059531,0.043354,0.145,480.0,1.008,1.7527,0.99
32,0.31,0.034532,0.047523,0.16374,0.091767,0.07197,0.06,480.0,1.008,1.3013,0.029055,0.040999,0.1397,0.078949,0.060749,0.0775,480.0,1.008,1.412,0.020157,0.030629,0.10102,0.058486,0.042534,0.145,480.0,1.008,1.7578,0.99
33,0.32,0.034014,0.046907,0.16147,0.090561,0.070912,0.06,480.0,1.008,1.3076,0.028586,0.040423,0.13761,0.077825,0.059789,0.0775,480.0,1.008,1.4179,0.019768,0.030095,0.099182,0.057456,0.041726,0.145,480.0,1.008,1.7619,0.99
