,depths,Eu_480.0,Ed_480.0,Eo_480.0,Eod_480.0,Eou_480.0,a_480.0,b_480.0,bb_480.0,Kd_480.0,Eu_540.0,Ed_540.0,Eo_540.0,Eod_540.0,Eou_540.0,a_540.0,b_540.0,bb_540.0,Kd_540.0,Eu_600.0,Ed_600.0,Eo_600.0,Eod_600.0,Eou_600.0,a_600.0,b_600.0,bb_600.0,Kd_600.0,g
0,0.0,0.095511,0.11663,0.40458,0.21102,0.19356,480.0,480.0,480.0,480.0,0.086782,0.10758,0.37088,0.19464,0.17624,540.0,540.0,540.0,540.0,0.07592,0.098604,0.3336,0.17841,0.1552,600.0,600.0,600.0,600.0,0.0
1,0.0,0.095511,0.11663,0.40458,0.21102,0.19356,0.06,170.0,1.3175,-0.17403,0.086782,0.10758,0.37088,0.19464,0.17624,0.0775,170.0,1.3175,0.083033,0.07592,0.098604,0.3336,0.17841,0.1552,0.145,170.0,1.3175,0.88868,0.9
2,0.01,0.094348,0.11522,0.41457,0.22157,0.19301,0.06,170.0,1.3175,1.9473,0.085535,0.10604,0.37895,0.20362,0.17533,0.0775,170.0,1.3175,2.1558,0.074313,0.096506,0.3378,0.18453,0.15327,0.145,170.0,1.3175,2.8126,0.9
3,0.02,0.092149,0.11277,0.40783,0.21889,0.18894,0.06,170.0,1.3175,2.3172,0.083363,0.10357,0.37196,0.2007,0.17126,0.0775,170.0,1.3175,2.5179,0.071951,0.09366,0.32932,0.18059,0.14873,0.145,170.0,1.3175,3.15,0.9
4,0.03,0.089723,0.11011,0.39856,0.21438,0.18418,0.06,170.0,1.3175,2.4703,0.080995,0.10092,0.36276,0.19616,0.16659,0.0775,170.0,1.3175,2.6697,0.069451,0.09069,0.31909,0.17536,0.14373,0.145,170.0,1.3175,3.2942,0.9
5,0.04,0.087227,0.10737,0.38851,0.20931,0.1792,0.06,170.0,1.3175,2.5573,0.078572,0.09822,0.35288,0.19114,0.16175,0.0775,170.0,1.3175,2.7566,0.066932,0.087716,0.30842,0.16978,0.13864,0.145,170.0,1.3175,3.3788,0.9
6,0.05,0.084716,0.10463,0.3782,0.20405,0.17415,0.06,170.0,1.3175,2.6188,0.076143,0.095521,0.34278,0.18593,0.15685,0.0775,170.0,1.3175,2.8167,0.064433,0.084777,0.2977,0.16413,0.13357,0.145,170.0,1.3175,3.4417,0.9
7,0.06,0.082211,0.1019,0.36783,0.19873,0.16911,0.06,170.0,1.3175,2.67,0.073728,0.092843,0.33271,0.18073,0.15198,0.0775,170.0,1.3175,2.8712,0.061968,0.081888,0.28708,0.15853,0.12855,0.145,170.0,1.3175,3.4968,0.9
8,0.07,0.079723,0.099197,0.3575,0.19341,0.16409,0.06,170.0,1.3175,2.718,0.071333,0.090195,0.32267,0.17554,0.14714,0.0775,170.0,1.3175,2.9213,0.059543,0.079054,0.27662,0.153,0.12362,0.145,170.0,1.3175,3.55,0.9
9,0.08,0.077254,0.096517,0.34724,0.18813,0.15911,0.06,170.0,1.3175,2.7645,0.068963,0.087579,0.31273,0.17039,0.14235,0.0775,170.0,1.3175,2.9698,0.057161,0.076279,0.26634,0.14757,0.11877,0.145,170.0,1.3175,3.604,0.9
10,0.09,0.074808,0.093866,0.33706,0.18289,0.15417,0.06,170.0,1.3175,2.8125,0.06662,0.084997,0.3029,0.1653,0.13761,0.0775,170.0,1.3175,3.0203,0.054821,0.07356,0.25625,0.14224,0.11401,0.145,170.0,1.3175,3.6604,0.9
11,0.1,0.072384,0.091243,0.32698,0.1777,0.14928,0.06,170.0,1.3175,2.8617,0.064302,0.082448,0.29319,0.16027,0.13292,0.0775,170.0,1.3175,3.0733,0.052523,0.070897,0.24635,0.13702,0.10933,0.145,170.0,1.3175,3.7207,0.9
12,0.11,0.069982,0.088648,0.317,0.17257,0.14443,0.06,170.0,1.3175,2.914,0.06201,0.079933,0.28359,0.1553,0.12829,0.0775,170.0,1.3175,3.1285,0.050264,0.068289,0.23664,0.1319,0.10474,0.145,170.0,1.3175,3.7835,0.9
13,0.12,0.067602,0.086081,0.30712,0.16748,0.13963,0.06,170.0,1.3175,2.9685,0.059744,0.07745,0.2741,0.15039,0.12371,0.0775,170.0,1.3175,3.1875,0.048045,0.065733,0.22711,0.12688,0.10023,0.145,170.0,1.3175,3.8523,0.9
14,0.13,0.065244,0.083541,0.29733,0.16245,0.13487,0.06,170.0,1.3175,3.0277,0.057502,0.075,0.26472,0.14555,0.11918,0.0775,170.0,1.3175,3.2503,0.045862,0.063227,0.21775,0.12196,0.095792,0.145,170.0,1.3175,3.9271,0.9
15,0.14,0.062906,0.081028,0.28763,0.15747,0.13016,0.06,170.0,1.3175,3.0888,0.055283,0.072579,0.25546,0.14076,0.11469,0.0775,170.0,1.3175,3.3166,0.043714,0.060771,0.20856,0.11713,0.091429,0.145,170.0,1.3175,4.0077,0.9
16,0.15,0.060588,0.07854,0.27803,0.15254,0.12548,0.06,170.0,1.3175,3.1549,0.053087,0.070189,0.24629,0.13604,0.11026,0.0775,170.0,1.3175,3.3887,0.0416,0.058361,0.19953,0.11239,0.087134,0.145,170.0,1.3175,4.0946,0.9
17,0.16,0.058289,0.076077,0.26851,0.14766,0.12084,0.06,170.0,1.3175,3.226,0.050913,0.067827,0.23722,0.13136,0.10586,0.0775,170.0,1.3175,3.4672,0.039518,0.055996,0.19065,0.10774,0.082904,0.145,170.0,1.3175,4.1899,0.9
18,0.17,0.056007,0.073637,0.25906,0.14282,0.11624,0.06,170.0,1.3175,3.3028,0.048758,0.065492,0.22825,0.12674,0.10151,0.0775,170.0,1.3175,3.5495,0.037465,0.053673,0.1819,0.10317,0.078732,0.145,170.0,1.3175,4.2957,0.9
19,0.18,0.053742,0.071219,0.24969,0.13803,0.11166,0.06,170.0,1.3175,3.3858,0.046622,0.063182,0.21934,0.12216,0.09718,0.0775,170.0,1.3175,3.6431,0.035439,0.051389,0.17328,0.09867,0.074606,0.145,170.0,1.3175,4.4148,0.9
20,0.19,0.051489,0.068819,0.24034,0.13326,0.10708,0.06,170.0,1.3175,3.4837,0.0445,0.060893,0.21048,0.11762,0.092859,0.0775,170.0,1.3175,3.7514,0.033434,0.049139,0.16473,0.09423,0.070497,0.145,170.0,1.3175,4.5581,0.9
21,0.2,0.049023,0.066205,0.2299,0.12804,0.10186,0.06,480.0,3.72,1.2706,0.042177,0.058404,0.20058,0.11266,0.087918,0.0775,480.0,3.72,1.3872,0.031245,0.046707,0.15519,0.089403,0.065787,0.145,480.0,3.72,1.8863,0.0
22,0.21,0.048345,0.06539,0.22699,0.1265,0.10048,0.06,480.0,0.3072,1.2422,0.041546,0.057618,0.19781,0.11117,0.086633,0.0775,480.0,0.3072,1.3557,0.030664,0.045905,0.15243,0.087863,0.06457,0.145,480.0,0.3072,1.7172,0.0
23,0.22,0.047671,0.064581,0.22404,0.12493,0.099111,0.06,480.0,0.3072,1.2482,0.040921,0.056841,0.19501,0.10966,0.085351,0.0775,480.0,0.3072,1.3616,0.030101,0.045123,0.14974,0.086347,0.063397,0.145,480.0,0.3072,1.7201,0.0
24,0.23,0.047002,0.063778,0.2211,0.12336,0.097744,0.06,480.0,0.3072,1.2533,0.040301,0.056071,0.19224,0.10816,0.08408,0.0775,480.0,0.3072,1.3667,0.029546,0.044353,0.1471,0.084856,0.06224,0.145,480.0,0.3072,1.722,0.0
25,0.24,0.046337,0.062982,0.21819,0.1218,0.096387,0.06,480.0,0.3072,1.2597,0.039687,0.055309,0.18949,0.10667,0.08282,0.0775,480.0,0.3072,1.3714,0.028999,0.043595,0.14449,0.083389,0.061102,0.145,480.0,0.3072,1.7253,0.0
26,0.25,0.045677,0.062192,0.21529,0.12026,0.095039,0.06,480.0,0.3072,1.2646,0.039078,0.054555,0.18677,0.1052,0.081571,0.0775,480.0,0.3072,1.3762,0.02846,0.042849,0.14193,0.081947,0.05998,0.145,480.0,0.3072,1.7287,0.0
27,0.26,0.045023,0.061409,0.21242,0.11872,0.093702,0.06,480.0,0.3072,1.2709,0.038475,0.053808,0.18408,0.10374,0.080333,0.0775,480.0,0.3072,1.3812,0.027929,0.042113,0.1394,0.080527,0.058874,0.145,480.0,0.3072,1.7329,0.0
28,0.27,0.044372,0.060632,0.20958,0.1172,0.092375,0.06,480.0,0.3072,1.2763,0.037877,0.053068,0.18141,0.1023,0.079107,0.0775,480.0,0.3072,1.387,0.027405,0.041389,0.13691,0.07913,0.057784,0.145,480.0,0.3072,1.7373,0.0
29,0.28,0.043727,0.059862,0.20675,0.11569,0.091057,0.06,480.0,0.3072,1.2816,0.037284,0.052335,0.17876,0.10087,0.077891,0.0775,480.0,0.3072,1.3925,0.026888,0.040676,0.13446,0.077753,0.05671,0.145,480.0,0.3072,1.7415,0.0
30,0.29,0.043086,0.059098,0.20395,0.1142,0.089749,0.06,480.0,0.3072,1.2887,0.036696,0.05161,0.17614,0.099455,0.076687,0.0775,480.0,0.3072,1.3988,0.026379,0.039973,0.13205,0.076397,0.05565,0.145,480.0,0.3072,1.7465,0.0
31,0.3,0.04245,0.05834,0.20116,0.11271,0.088451,0.06,480.0,0.3072,1.2934,0.036113,0.050892,0.17355,0.098053,0.075492,0.0775,480.0,0.3072,1.405,0.025876,0.03928,0.12967,0.075062,0.054605,0.145,480.0,0.3072,1.7505,0.0
32,0.31,0.041818,0.057589,0.1984,0.11124,0.087161,0.06,480.0,0.3072,1.3006,0.035535,0.05018,0.17097,0.096665,0.074308,0.0775,480.0,0.3072,1.4108,0.025379,0.038598,0.12732,0.073746,0.053574,0.145,480.0,0.3072,1.7557,0.0
33,0.32,0.04119,0.056843,0.19566,0.10978,0.085881,0.06,480.0,0.3072,1.3075,0.034962,0.049476,0.16842,0.09529,0.073134,0.0775,480.0,0.3072,1.4185,0.02489,0.037925,0.12501,0.072449,0.052557,0.145,480.0,0.3072,1.7621,0.0
34,0.33,0.040567,0.056103,0.19294,0.10833,0.08461,0.06,480.0,0.3072,1.3118,0.034394,0.048778,0.1659,0.093928,0.07197,0.0775,480.0,0.3072,1.4236,0.024406,0.037262,0.12272,0.071171,0.051553,0.145,480.0,0.3072,1.7649,0.0
35,0.34,0.039948,0.055369,0.19024,0.10689,0.083348,0.06,480.0,0.3072,1.3196,0.03383,0.048086,0.1634,0.092579,0.070816,0.0775,480.0,0.3072,1.431,0.023929,0.036609,0.12047,0.069911,0.050563,0.145,480.0,0.3072,1.7706,0.0
36,0.35,0.039334,0.054641,0.18756,0.10547,0.082094,0.06,480.0,0.3072,1.3273,0.033271,0.047402,0.16091,0.091243,0.069672,0.0775,480.0,0.3072,1.4388,0.023458,0.035965,0.11826,0.06867,0.049585,0.145,480.0,0.3072,1.7779,0.0
37,0.36,0.038723,0.053919,0.1849,0.10405,0.080849,0.06,480.0,0.3072,1.3329,0.032717,0.046723,0.15846,0.089919,0.068537,0.0775,480.0,0.3072,1.4455,0.022993,0.03533,0.11607,0.067446,0.048621,0.145,480.0,0.3072,1.785,0.0
38,0.37,0.038116,0.053202,0.18226,0.10265,0.079613,0.06,480.0,0.3072,1.3429,0.032167,0.046051,0.15602,0.088607,0.06741,0.0775,480.0,0.3072,1.4524,0.022534,0.034704,0.11391,0.066239,0.047669,0.145,480.0,0.3072,1.7898,0.0
39,0.38,0.037514,0.052491,0.17964,0.10125,0.078385,0.06,480.0,0.3072,1.35,0.031621,0.045386,0.1536,0.087307,0.066294,0.0775,480.0,0.3072,1.4599,0.022081,0.034087,0.11178,0.065049,0.046729,0.145,480.0,0.3072,1.7973,0.0
40,0.39,0.036915,0.051785,0.17703,0.099868,0.077165,0.06,480.0,0.3072,1.3572,0.031079,0.044726,0.15121,0.086019,0.065186,0.0775,480.0,0.3072,1.4689,0.021634,0.033479,0.10968,0.063876,0.0458,0.145,480.0,0.3072,1.8029,0.0
41,0.4,0.03632,0.051085,0.17445,0.098495,0.075953,0.06,480.0,0.3072,1.364,0.030542,0.044073,0.14883,0.084743,0.064088,0.0775,480.0,0.3072,1.4748,0.021191,0.03288,0.1076,0.062719,0.044884,0.145,480.0,0.3072,1.8099,0.0
42,0.41,0.035729,0.050391,0.17188,0.097133,0.074749,0.06,480.0,0.3072,1.3747,0.030009,0.043425,0.14648,0.083478,0.062997,0.0775,480.0,0.3072,1.4855,0.020755,0.032288,0.10556,0.061579,0.043979,0.145,480.0,0.3072,1.8197,0.0
43,0.42,0.035142,0.049701,0.16933,0.095781,0.073553,0.06,480.0,0.3072,1.384,0.02948,0.042783,0.14414,0.082224,0.061916,0.0775,480.0,0.3072,1.4944,0.020323,0.031706,0.10354,0.060454,0.043086,0.145,480.0,0.3072,1.8255,0.0
44,0.43,0.034559,0.049017,0.1668,0.094438,0.072365,0.06,480.0,0.3072,1.3919,0.028955,0.042148,0.14182,0.080982,0.060843,0.0775,480.0,0.3072,1.5013,0.019897,0.031131,0.10155,0.059344,0.042203,0.145,480.0,0.3072,1.8345,0.0
45,0.44,0.033979,0.048337,0.16429,0.093106,0.071184,0.06,480.0,0.3072,1.3999,0.028434,0.041517,0.13953,0.07975,0.059778,0.0775,480.0,0.3072,1.509,0.019476,0.030564,0.099582,0.05825,0.041331,0.145,480.0,0.3072,1.8427,0.0
46,0.45,0.033402,0.047663,0.16179,0.091783,0.070011,0.06,480.0,0.3072,1.4116,0.027917,0.040893,0.13725,0.07853,0.058721,0.0775,480.0,0.3072,1.5216,0.01906,0.030005,0.097641,0.057171,0.04047,0.145,480.0,0.3072,1.8512,0.0
47,0.46,0.032829,0.046994,0.15931,0.09047,0.068845,0.06,480.0,0.3072,1.4228,0.027403,0.040274,0.13499,0.07732,0.057672,0.0775,480.0,0.3072,1.5304,0.018649,0.029453,0.095725,0.056106,0.039619,0.145,480.0,0.3072,1.8581,0.0
48,0.47,0.03226,0.046329,0.15685,0.089167,0.067686,0.06,480.0,0.3072,1.4296,0.026893,0.03966,0.13275,0.07612,0.056631,0.0775,480.0,0.3072,1.5416,0.018242,0.028909,0.093834,0.055056,0.038778,0.145,480.0,0.3072,1.8697,0.0
49,0.48,0.031694,0.04567,0.15441,0.087872,0.066534,0.06,480.0,0.3072,1.439,0.026387,0.039052,0.13053,0.074931,0.055597,0.0775,480.0,0.3072,1.5503,0.01784,0.028373,0.091967,0.054019,0.037947,0.145,480.0,0.3072,1.8785,0.0
50,0.49,0.031131,0.045015,0.15198,0.086587,0.065389,0.06,480.0,0.3072,1.449,0.025885,0.038449,0.12832,0.073752,0.054572,0.0775,480.0,0.3072,1.5612,0.017443,0.027844,0.090123,0.052996,0.037126,0.145,480.0,0.3072,1.8867,0.0
51,0.5,0.030571,0.044365,0.14956,0.085311,0.064251,0.06,480.0,0.3072,1.4595,0.025386,0.037852,0.12614,0.072583,0.053553,0.0775,480.0,0.3072,1.5735,0.01705,0.027322,0.088302,0.051987,0.036314,0.145,480.0,0.3072,1.8954,0.0
52,0.51,0.030015,0.04372,0.14716,0.084044,0.06312,0.06,480.0,0.3072,1.4714,0.02489,0.037259,0.12397,0.071424,0.052542,0.0775,480.0,0.3072,1.5821,0.016662,0.026806,0.086504,0.050992,0.035512,0.145,480.0,0.3072,1.9084,0.0
53,0.52,0.029462,0.043079,0.14478,0.082786,0.061996,0.06,480.0,0.3072,1.4822,0.024398,0.036672,0.12181,0.070275,0.051538,0.0775,480.0,0.3072,1.5987,0.016278,0.026298,0.084728,0.050009,0.034719,0.145,480.0,0.3072,1.919,0.0
54,0.53,0.028912,0.042443,0.14241,0.081536,0.060877,0.06,480.0,0.3072,1.4928,0.023909,0.036089,0.11968,0.069135,0.050541,0.0775,480.0,0.3072,1.6087,0.015898,0.025797,0.082973,0.049039,0.033934,0.145,480.0,0.3072,1.9324,0.0
55,0.54,0.028365,0.041811,0.14006,0.080295,0.059766,0.06,480.0,0.3072,1.5058,0.023423,0.035512,0.11755,0.068004,0.04955,0.0775,480.0,0.3072,1.6177,0.015522,0.025302,0.08124,0.048081,0.033158,0.145,480.0,0.3072,1.9434,0.0
56,0.55,0.027821,0.041184,0.13772,0.079062,0.05866,0.06,480.0,0.3072,1.517,0.022941,0.034939,0.11545,0.066883,0.048567,0.0775,480.0,0.3072,1.6346,0.01515,0.024813,0.079527,0.047136,0.032391,0.145,480.0,0.3072,1.9569,0.0
57,0.56,0.027279,0.040561,0.1354,0.077838,0.057561,0.06,480.0,0.3072,1.5324,0.022461,0.034371,0.11336,0.06577,0.04759,0.0775,480.0,0.3072,1.645,0.014782,0.024331,0.077835,0.046203,0.031632,0.145,480.0,0.3072,1.9681,0.0
58,0.57,0.026741,0.039942,0.13309,0.076622,0.056467,0.06,480.0,0.3072,1.5453,0.021985,0.033807,0.11129,0.064667,0.046619,0.0775,480.0,0.3072,1.661,0.014417,0.023855,0.076162,0.045282,0.030881,0.145,480.0,0.3072,1.984,0.0
59,0.58,0.026206,0.039327,0.13079,0.075414,0.05538,0.06,480.0,0.3072,1.561,0.021512,0.033249,0.10923,0.063572,0.045655,0.0775,480.0,0.3072,1.6735,0.014056,0.023385,0.074509,0.044372,0.030138,0.145,480.0,0.3072,1.9992,0.0
60,0.59,0.025673,0.038717,0.12851,0.074213,0.054298,0.06,480.0,0.3072,1.5712,0.021041,0.032694,0.10718,0.062486,0.044697,0.0775,480.0,0.3072,1.6879,0.013699,0.022921,0.072875,0.043473,0.029402,0.145,480.0,0.3072,2.0123,0.0
61,0.6,0.025143,0.03811,0.12624,0.073021,0.053222,0.06,480.0,0.3072,1.5873,0.020574,0.032144,0.10515,0.061408,0.043745,0.0775,480.0,0.3072,1.7044,0.013346,0.022463,0.07126,0.042586,0.028674,0.145,480.0,0.3072,2.0243,0.0
62,0.61,0.024615,0.037508,0.12399,0.071836,0.052152,0.06,480.0,0.3072,1.6003,0.020109,0.031599,0.10314,0.060339,0.042799,0.0775,480.0,0.3072,1.7219,0.012995,0.02201,0.069663,0.041709,0.027953,0.145,480.0,0.3072,2.0418,0.0
63,0.62,0.02409,0.036909,0.12174,0.070658,0.051087,0.06,480.0,0.3072,1.6202,0.019647,0.031057,0.10114,0.059278,0.041858,0.0775,480.0,0.3072,1.7379,0.012649,0.021564,0.068083,0.040844,0.02724,0.145,480.0,0.3072,2.0604,0.0
64,0.63,0.023568,0.036314,0.11952,0.069488,0.050027,0.06,480.0,0.3072,1.6344,0.019187,0.03052,0.099148,0.058225,0.040924,0.0775,480.0,0.3072,1.7546,0.012305,0.021122,0.066521,0.039988,0.026533,0.145,480.0,0.3072,2.0762,0.0
65,0.64,0.023048,0.035723,0.1173,0.068325,0.048973,0.06,480.0,0.3072,1.6494,0.01873,0.029987,0.097174,0.05718,0.039994,0.0775,480.0,0.3072,1.7717,0.011964,0.020687,0.064976,0.039143,0.025833,0.145,480.0,0.3072,2.0943,0.0
66,0.65,0.02253,0.035136,0.11509,0.067169,0.047923,0.06,480.0,0.3072,1.665,0.018276,0.029459,0.095212,0.056142,0.039071,0.0775,480.0,0.3072,1.7903,0.011627,0.020256,0.063447,0.038308,0.02514,0.145,480.0,0.3072,2.1154,0.0
67,0.66,0.022015,0.034552,0.1129,0.06602,0.046879,0.06,480.0,0.3072,1.684,0.017824,0.028934,0.093264,0.055112,0.038152,0.0775,480.0,0.3072,1.8064,0.011292,0.019831,0.061935,0.037482,0.024453,0.145,480.0,0.3072,2.1351,0.0
68,0.67,0.021502,0.033972,0.11072,0.064879,0.045839,0.06,480.0,0.3072,1.705,0.017375,0.028413,0.091328,0.054089,0.037238,0.0775,480.0,0.3072,1.8275,0.010961,0.01941,0.060438,0.036666,0.023772,0.145,480.0,0.3072,2.1556,0.0
69,0.68,0.020991,0.033396,0.10855,0.063743,0.044804,0.06,480.0,0.3072,1.7192,0.016927,0.027895,0.089404,0.053074,0.03633,0.0775,480.0,0.3072,1.8486,0.010632,0.018995,0.058956,0.035859,0.023097,0.145,480.0,0.3072,2.176,0.0
70,0.69,0.020483,0.032823,0.10639,0.062615,0.043773,0.06,480.0,0.3072,1.7416,0.016483,0.027382,0.087492,0.052066,0.035426,0.0775,480.0,0.3072,1.8691,0.010306,0.018584,0.057489,0.035062,0.022428,0.145,480.0,0.3072,2.1968,0.0
71,0.7,0.019977,0.032253,0.10424,0.061493,0.042747,0.06,480.0,0.3072,1.7627,0.01604,0.026872,0.085591,0.051065,0.034527,0.0775,480.0,0.3072,1.8915,0.009982,0.018178,0.056037,0.034273,0.021764,0.145,480.0,0.3072,2.2218,0.0
72,0.71,0.019472,0.031687,0.1021,0.060377,0.041725,0.06,480.0,0.3072,1.7819,0.015599,0.026366,0.083702,0.05007,0.033632,0.0775,480.0,0.3072,1.9168,0.0096608,0.017777,0.054598,0.033493,0.021105,0.145,480.0,0.3072,2.2444,0.0
73,0.72,0.01897,0.031124,0.099975,0.059267,0.040707,0.06,480.0,0.3072,1.8035,0.015161,0.025863,0.081823,0.049082,0.032741,0.0775,480.0,0.3072,1.9388,0.0093421,0.01738,0.053172,0.032721,0.020452,0.145,480.0,0.3072,2.2718,0.0
74,0.73,0.018469,0.030564,0.097857,0.058164,0.039693,0.06,480.0,0.3072,1.8295,0.014724,0.025364,0.079955,0.048101,0.031854,0.0775,480.0,0.3072,1.9636,0.0090256,0.016988,0.051759,0.031957,0.019803,0.145,480.0,0.3072,2.2974,0.0
75,0.74,0.017971,0.030008,0.095748,0.057065,0.038682,0.06,480.0,0.3072,1.8506,0.01429,0.024868,0.078096,0.047126,0.030971,0.0775,480.0,0.3072,1.9898,0.0087113,0.016599,0.050359,0.031201,0.019158,0.145,480.0,0.3072,2.3273,0.0
76,0.75,0.017474,0.029454,0.093647,0.055973,0.037675,0.06,480.0,0.3072,1.8774,0.013857,0.024375,0.076247,0.046156,0.030091,0.0775,480.0,0.3072,2.0174,0.0083991,0.016215,0.048969,0.030452,0.018517,0.145,480.0,0.3072,2.359,0.0
